animal_id,feedlot,gender,status,day_on_feed,rnaseq_batch,geno_comp_1,geno_comp_2,geno_comp_3,geno_comp_cluster
U6921,F4,male,BRD,23,B2,0.259583,0.525479,0.214938,K3
G3121,F2,female,BRD,26,B2,0.389157,0.576557,0.034285,K3
Y9682,F3,male,BRD,48,B2,0.569208,0.327002,0.10379,K2
R9504,F2,male,BRD,31,B1,1e-5,0.998913,0.001077,K3
R9499,F2,male,BRD,26,B1,0.197936,0.172166,0.629898,K1
R1156,F1,female,BRD,14,B2,0.094253,0.796523,0.109224,K3
W3169,F3,female,BRD,33,B2,0.244848,0.633222,0.12193,K3
R5080,F2,male,BRD,29,B1,0.010238,0.989752,1e-5,K3
R9900,F2,male,BRD,16,B1,0.817647,0.076881,0.105472,K2
Y3059,F1,male,BRD,12,B2,0.288683,0.559001,0.152315,K3
R5972,F2,male,BRD,30,B1,0.85532,0.092604,0.052077,K2
O4713,F4,female,BRD,20,B2,0.009972,1e-5,0.990018,K1
G3068,F2,female,BRD,32,B2,0.135811,1e-5,0.864179,K1
R9830,F2,male,BRD,19,B1,0.241963,0.390278,0.367759,K3
R9556,F2,male,BRD,31,B1,0.127013,0.82267,0.050318,K3
R9627,F2,male,BRD,18,B1,0.999485,5.05e-4,1e-5,K2
P4735,F3,male,BRD,47,B2,0.216304,0.408175,0.37552,K3
U6879,F4,male,BRD,16,B2,0.370503,0.44015,0.189348,K3
R1111,F3,female,BRD,51,B2,1e-5,0.728367,0.271623,K3
U6892,F4,male,BRD,15,B2,0.048812,0.110409,0.840779,K1
O4328,F4,female,BRD,23,B2,0.001541,1e-5,0.998449,K1
P4492,F3,male,Control,50,B2,0.052407,0.427662,0.519931,K1
O5096,F4,female,BRD,12,B2,0.021849,1e-5,0.978141,K1
U6679,F4,male,BRD,17,B2,0.187151,0.812839,1e-5,K3
O5245,F4,female,BRD,7,B2,0.108729,1e-5,0.891261,K1
O5076,F4,female,BRD,11,B2,0.341252,0.608248,0.050501,K3
O5108,F4,female,BRD,13,B2,1e-5,0.065019,0.934971,K1
P4744,F3,male,BRD,38,BNA,0.124324,0.82208,0.053596,K3
P4772,F3,male,Control,46,BNA,0.225694,0.518568,0.255738,K3
R8953,F1,female,Control,21,BNA,0.31024,0.154271,0.53549,K1
U5416,F4,male,Control,53,BNA,0.763865,0.115527,0.120608,K2
R9518,F2,male,Control,NA,B1,NA,NA,NA,NA
R9909,F2,male,Control,NA,B1,NA,NA,NA,NA
