sample_id,HMDB00001,HMDB00008,HMDB00042,HMDB00043,HMDB00060,HMDB00062,HMDB00064,HMDB00092,HMDB00094,HMDB00097,HMDB00108,HMDB00122,HMDB00123,HMDB00131,HMDB00142,HMDB00148,HMDB00157,HMDB00158,HMDB00159,HMDB00161,HMDB00162,HMDB00167,HMDB00168,HMDB00169,HMDB00172,HMDB00177,HMDB00182,HMDB00187,HMDB00190,HMDB00191,HMDB00201,HMDB00208,HMDB00214,HMDB00243,HMDB00254,HMDB00271,HMDB00294,HMDB00357,HMDB00407,HMDB00452,HMDB00491,HMDB00517,HMDB00562,HMDB00641,HMDB00687,HMDB00691,HMDB00695,HMDB00696,HMDB00754,HMDB00863,HMDB00883,HMDB01659,HMDB01873,HMDB01875,HMDB01881
R9819,NA,10.4,892.3,93.4,4.3,6.6,138.9,1.1,170.9,19.5,10.8,3562.2,194.1,174.1,66.5,116.8,NA,34.2,36.8,188.9,25.3,46.1,23.9,52.6,58.4,NA,29.1,73.2,3684.2,NA,2.3,12.8,NA,18.1,NA,NA,NA,368.6,NA,NA,NA,NA,110.5,103.8,63.6,2.7,NA,10.3,1.4,73.2,135.3,41.7,18.8,24,51
R5644,NA,50.6,1431.2,267.9,4.5,10.3,214.3,1,117.3,12.8,7.3,4034.5,124.3,122.4,30.8,177.7,NA,37.5,36.7,204,42.4,42.4,24.7,65.5,76.5,NA,54.4,81,5211.9,NA,4,18.5,NA,17.6,NA,NA,NA,689.5,NA,NA,NA,NA,72.6,168.9,58.6,5,NA,14.3,0.9,79.3,141.7,67.3,19.1,10.7,7.8
R5783,NA,42.4,957.5,137.4,0.2,8.9,160.7,1,140.2,20.6,15.1,3083.7,148.6,127.5,46.9,127.9,NA,21.4,26.9,194.7,44.8,47.4,20.3,51.4,39.7,NA,45,60.9,2531.2,NA,2.7,13.3,NA,6.9,NA,NA,NA,518.2,NA,NA,NA,NA,82.1,157.9,45.2,8.1,NA,11.5,0.7,59.7,119.5,40.4,19.4,11.5,11.5
R9436,NA,57.8,1084.9,217.1,5.5,10.5,235.1,1.1,222.8,25.9,6.3,4790.6,156.8,159.7,66.9,194.1,NA,53.6,40.6,269.8,52.9,35.4,38.5,70.2,102.5,NA,75.2,86.8,4466,NA,3.9,20.3,NA,25.1,NA,NA,NA,531,NA,NA,NA,NA,103.7,194.3,79.9,6.4,NA,7.3,1.7,88.8,168.3,65.8,22,21.2,3.9
P4475,10.5,17,578,67,1.8,8.8,189,0.7,165,36.3,26.2,5451,293,196,41.4,178.8,1.4,71.1,43.5,355,99.6,51.6,22.1,26.3,75.6,46.3,72.9,85.5,4833,7.8,2.3,12.9,74.9,24,11,4.1,1021,242,1.7,0.1,1.9,8,86.6,195.5,132.4,6.8,1.8,29.3,5.7,56.7,231,26.8,15.4,27.4,45.4
G3723,8.8,39.3,863,193.7,1.5,11.7,218,0.9,245.7,22.4,10.5,4585,154,211,50.6,145.3,0,33.1,29.2,163,67.9,31.6,9.9,30.7,58.2,31.7,41.1,80.3,2843,5.9,3.1,14,42.8,10.7,3.3,2.3,1227,427,1.6,0,2,10.8,94.3,170.2,51,5.4,2.5,14.8,0.5,28.3,137,22.5,18.6,71.8,2.9
R1122,10.1,23.3,406,136.9,1.3,12.6,210,1,229.9,21.9,14.7,5694,353,188,44.8,159.1,0,81.5,53.4,306,75.1,50.6,19.5,67.5,71.5,53.9,49.9,108.9,4955,11.1,2.3,11.3,76.6,31.7,8.3,2.6,937,222,1.4,0.1,1.3,0,98.7,190.1,145.9,7.6,1.8,30.4,1.3,21.3,228,24.1,19.5,74,27.1
R5697,NA,63,954.3,287.3,5.3,11.2,259.5,1.2,206.5,23.5,5.3,4939.2,206.6,189.8,57.1,217.9,NA,43.8,43.2,314.8,67.5,54.3,32.7,63.3,81.9,NA,53,66.3,5029.8,NA,3.8,19.9,NA,18.9,NA,NA,NA,560.2,NA,NA,NA,NA,96.5,190,79,4.8,NA,9.7,0.9,124.3,155.1,69.3,17.8,19.1,3.7
P4467,11.4,16.5,688,83.4,1.1,8.6,144,0.6,115.6,29.4,24.5,5004,283,189,42.3,138.5,0,76.2,51,265,89.9,78.7,21.6,27.6,84.8,53.2,77.1,91.5,3283,13.3,2.6,1.8,92.4,16.8,3.2,5.6,473,299,1.3,0.1,2,74.9,76.7,174.9,161.5,6.6,3.1,26.8,1.1,46.5,242,8.5,11.8,64.4,79.2
R9313,NA,43.5,698.3,201.6,0.3,8.6,188.8,0.9,211.4,28.8,31.7,4532.8,207.7,138.9,72.5,191.3,NA,30.8,37,312.3,57.8,37.3,25.2,65,67.4,NA,51.7,73.1,4394,NA,2.6,24.3,NA,24.9,NA,NA,NA,472.4,NA,NA,NA,NA,96.3,156.5,75.5,4.2,NA,16.1,0.9,241.6,143.4,50.8,16.2,22.7,29.5
R5564,NA,81.7,670,143,7,12.4,183.7,1,100.5,21,21,5319.4,174.1,164.7,38.7,187.9,NA,51.1,46.6,286.9,48.1,62.7,29.5,59.4,79.5,NA,74.4,80.8,9070,NA,4.8,22.6,NA,46,NA,NA,NA,412,NA,NA,NA,NA,87.2,171.5,98.8,3.2,NA,17.5,0.9,40.6,198.7,41.6,21.2,11.5,3.5
R5921,NA,81,658.7,194.1,5.8,12.6,225,1.1,274.1,31,29.9,4542.7,356.4,159.4,55.1,207.7,NA,47.2,42.1,352.2,81,66,35.1,57.4,69.2,NA,67.3,80.8,8447.8,NA,4.2,28.3,NA,50,NA,NA,NA,438.2,NA,NA,NA,NA,147.8,290.4,75.4,7.1,NA,11.9,0.7,161.3,171.5,50.5,18.1,12.9,28.5
R5291,NA,48.7,1402.3,222,4.4,10,222.1,1.5,239.8,38.1,17.6,4035.3,234.9,109.8,43.6,259.7,NA,51.7,37.3,274.9,75.4,45.2,27,51.6,56.9,NA,47.2,53,4919.8,NA,3.3,23.9,NA,11.6,NA,NA,NA,562.1,NA,NA,NA,NA,104.8,207.2,55,5.1,NA,12.1,1.2,166,151.1,81.4,25.7,21.8,66.2
O4492,5.7,8.2,446,261.5,0.6,14.8,160,1,42.5,20.9,14.6,4137,315,156,63.1,213.9,0,34.7,42.8,222,40.2,44,20.9,60.2,60.8,35.1,72.6,99.6,2380,15.1,2.9,12.2,61.8,9.9,13.7,3.1,656,157,2.7,1.4,1.1,69.6,105.2,166.4,93.9,4.5,2.2,15.7,0.9,12.6,200,13.9,9.2,67.1,23.3
R5638,NA,77.2,1215.9,281.4,0.8,14,235.8,1.2,218.6,32.2,17.9,5116.5,190.2,100.2,52.7,278.2,NA,38,42.3,332.4,65,36.8,27.7,70.4,65.7,NA,58.1,99.7,6745.9,NA,4.3,24.7,NA,11.2,NA,NA,NA,675.6,NA,NA,NA,NA,109.2,167.6,76.9,4.3,NA,9,0.9,79.6,146.5,41.3,23,11.6,51.2
R1011,15.3,18.5,770,148.3,1.8,9.1,221,0.9,163.8,36.2,22,5264,409,173,53.7,165.8,0,66.5,48.4,257,80.3,49.8,18.6,40.7,65.6,37.1,49.3,104,4289,10.2,2.5,16.9,48.2,22.8,10,3.6,587,417,1.2,1.2,2.2,71.7,74.3,191.1,114.3,4.5,1.8,24.2,1.1,19.5,173,48.7,13.8,44.9,38.1
R98,12.3,25,655,160.6,1.5,11.9,245,1,171.8,21.5,15.5,5224,252,202,63.6,149,1.3,44.1,32.9,251,58.1,59.1,19.4,28.4,68.2,33.6,54.3,99,2565,9.8,3.5,11.7,40.6,24.7,2.6,1.9,1260,302,0.8,0.1,1.5,60.6,78.5,182.1,58,5.9,0.9,19.2,1.3,83.1,172,15.6,15.6,15.6,6.3
R9265,10.5,50,1281,316.5,1.9,11.8,250,1,239.6,37.3,35.9,4899,288,194,72.2,244.5,0,52.7,30.7,292,84.4,65.6,17,38,80.5,28.7,64.3,110.4,5364,7,3.8,20.5,65,21.6,4.3,2.4,1207,660,1.4,1.4,3.1,63.8,106.6,181,76.8,6.4,1.8,21.4,1.4,142.7,179,33,16.8,16.9,31.8
Y9747,14.3,12.8,338,84.5,1.1,8.3,156,0.7,93,24.4,11.5,4329,190,181,48,146.5,0,45,41.4,218,62.6,37.3,11.3,46.2,65.7,34.9,50.4,73.7,3841,5.3,3,11,48.4,9.2,9.8,1.5,1121,195,0.7,0.1,0.8,53.6,70.9,164,133.9,5.2,3.1,19.4,1.4,32.6,183,11.1,11.7,17,1.5
R1027,14.5,18.7,536,173.7,1.4,10,201,1,160.2,24.2,18.4,4919,376,169,49.4,126.5,0,66,52.4,254,93,55.3,20.1,40.8,61.5,34.2,59.3,104.8,4604,5.4,3.2,15.9,59.2,29,2,6.3,813,246,0.6,1.3,1.1,44,91.3,159.7,116.3,7.3,1.5,26,0.8,34.4,195,39.5,13.6,26,27.5
P4746,11.9,12.2,389,80.2,1.5,12.7,263,1.1,149.3,20.7,15,4874,290,251,46.6,203.4,0,71.7,52.5,355,119.6,70.9,26.7,42.7,90.6,39.4,58.3,113.8,7040,10.6,3.7,20.4,64.5,32.4,12.8,1.8,973,185,0,0.2,1.8,63,83.1,194.3,165.9,8.3,2.3,28.4,0,21.2,230,10.7,13,21.1,1.1
R9357,NA,60.2,637.4,198.8,0.7,9.8,268.6,1.2,263.9,21.2,23.5,5100.5,159.7,144.5,50.4,195.9,NA,36.6,42.8,296.7,53.6,50,29.3,71.6,76.4,NA,46,58.4,4503.9,NA,2.7,22.4,NA,30.4,NA,NA,NA,295.3,NA,NA,NA,NA,92.1,173.1,94.5,2.8,NA,7.4,0.8,80.3,181.1,46.5,14,12,2.3
U6792,11.4,19.2,274,70.9,1.3,13.9,234,0.9,27.2,20.5,15.3,5214,155,114,32,91.7,0,23.7,44.7,255,50.3,38.8,9.5,120.3,43,32.4,32.8,49.1,13540,6,5.7,25,26.8,46.7,8.9,0.8,771,113,1.2,1.2,1.3,40.3,107.6,128.3,78.4,3.9,2,9.6,0,52.4,134,15.1,9,66.6,1.3
O2608,13.4,18.4,426,137.4,2.3,9.7,169,1,36.6,23.7,17,6138,176,227,43,156.1,0,34.7,51,246,53.5,30.9,14.5,62.2,43.8,31.2,43.9,53.5,11686,8.7,3,35.4,33.4,24.9,18.8,1.6,641,173,1.9,0.3,2.6,54.5,69.5,152.3,75.3,5.1,3.2,13.5,0,28.3,117,14.1,10.1,28.7,2.6
U5669,13.9,29.3,458,110.3,2,13.9,153,0.8,103.7,23.8,16.2,4710,271,195,53.7,181,0,34.1,45.5,258,78.8,38.8,18.7,40.5,65.4,28.2,56.2,103.9,7169,7.5,4.2,28.9,36,29.3,13.2,1.2,605,251,2.7,1.3,1.8,10.1,99,190.1,95.1,6.9,1.8,11.1,0.1,25.3,166,37.9,11,14,3.2
R35,13.1,13.7,271,115.7,1.4,14.1,202,1.1,31.2,13.2,8.1,4207,205,177,56.8,147.5,1.8,25.6,40,175,51.1,28.9,15.4,72.9,49.6,33.2,72.6,90.8,2831,4.6,3,22.7,38.7,11.2,13.2,1,821,96,1.2,1.1,1.2,38.9,93.4,163,84.8,4.5,1.1,11.6,0.4,104.8,157,22.3,7.1,16.7,29.6
R5327,NA,77.2,124.8,65.1,6.2,28.7,194.8,2.7,22.6,18.9,13.7,4284.6,175.4,190.5,54.3,80.1,NA,28.2,117.9,168.1,28.5,33.2,23.4,149.5,67.3,NA,99.1,NA,4122.7,NA,8.5,9.4,NA,14.5,NA,NA,NA,90.2,NA,NA,NA,NA,98.7,97.3,131.4,3.3,NA,10,2.5,104.8,176.2,44.7,11.8,28.5,3.6
R9777,NA,58.9,126.6,56.6,1.1,24.8,146.6,1.3,19.3,17.2,18.5,3485.3,150.6,219.7,60.1,72.2,NA,23.7,83.5,157.9,33.3,53.4,26.9,176.6,88.3,NA,90.9,65.6,2179.1,NA,13.4,6.6,NA,11,NA,NA,NA,273.3,NA,NA,NA,NA,74.3,52.3,132.4,4.2,NA,10.4,1.5,188.7,207.8,141.8,10.1,26.3,10.2
R9887,NA,3.4,150,163.2,7.1,18.3,138.1,1.3,52.9,37.7,9.1,3694.6,267.6,154.5,35.3,169.8,NA,23.7,72.3,254.5,44.3,18.1,27.7,86.1,57.8,NA,83.8,81.6,3646.2,NA,3.9,18.2,NA,10.3,NA,NA,NA,125.8,NA,NA,NA,NA,72.6,109.6,105.2,4,NA,7.5,1.2,117.2,177.5,59.5,7.1,19.1,21.2
R5913,NA,22.8,189.5,110.6,5.4,24.9,90.6,1.2,24.1,12.9,36.6,4167.9,136.5,128.5,46.3,83.9,NA,20.5,68.3,321.3,16.3,46.9,21.4,110.5,33.9,NA,70.3,51,9189.3,NA,5.3,21.6,NA,64.3,NA,NA,NA,93.2,NA,NA,NA,NA,90.4,59.5,75,4.2,NA,10,0,245.7,129,77.5,7.8,11.1,13.8
