gene_id,log_fc,log_cpm,f,p_value,fdr,de_signif,de_status
ENSBTAG00000051722,4.614204208966388,4.188292139479523,357.64361996476214,5.3231207057858495e-40,5.933702529187454e-36,DE,upregulated
ENSBTAG00000049808,3.796334796605201,6.829925040411582,356.3940461318311,6.3323222124619325e-40,5.933702529187454e-36,DE,upregulated
ENSBTAG00000050206,5.413275998599709,2.24274744135953,346.8853211113959,2.4080188398394907e-39,1.50428936924773e-35,DE,upregulated
ENSBTAG00000053667,4.3443108895742855,3.5171820819648674,344.4662953761319,3.3967498667520606e-39,1.5914622313200092e-35,DE,upregulated
ENSBTAG00000014122,2.175720020551708,6.742939794093767,327.393425464814,4.050017716583624e-38,1.5180276405298738e-34,DE,upregulated
ENSBTAG00000014834,-1.3120364002491551,2.63590968219045,315.5285704383057,2.394281820032607e-37,7.478539264871848e-34,Not DE,Not DE
ENSBTAG00000032068,2.8506638152702193,1.9139625296777472,306.7720433449464,9.159518736914652e-37,2.4522648664073925e-33,Not DE,Not DE
ENSBTAG00000000377,3.574459685328622,5.410478156721535,299.6980798661471,2.761247443351515e-36,6.468567291981343e-33,DE,upregulated
ENSBTAG00000049888,2.8976573024443937,5.453036668635395,297.1309157754087,4.139541763763192e-36,8.619905799409552e-33,DE,upregulated
ENSBTAG00000014269,1.589532240637934,7.363444224335595,295.6630228652072,5.2236133408438596e-36,9.789573762075478e-33,Not DE,Not DE
ENSBTAG00000031950,3.043321702114145,6.691708191222648,294.75126071364036,6.037971560486319e-36,1.0287056819552191e-32,DE,upregulated
ENSBTAG00000031647,7.030388745036473,4.230054013073203,290.34490034859056,1.2214213722997436e-35,1.9075548281891246e-32,DE,upregulated
ENSBTAG00000001032,-2.112564677724848,3.3144480708201396,285.72574689296266,2.5765586825940497e-35,3.7144066361919303e-32,DE,downregulated
ENSBTAG00000007901,3.3644009582748065,8.937953091873675,285.0828304986549,2.8605025387514706e-35,3.8291912913386646e-32,DE,upregulated
ENSBTAG00000006221,3.1765589704053063,5.547347019374558,280.94706979444356,5.625739665896137e-35,7.028799138570635e-32,DE,upregulated
ENSBTAG00000051012,3.4192369153710462,6.784623444712364,271.13622436708204,2.876339782080329e-34,3.3690927409979655e-31,DE,upregulated
ENSBTAG00000049416,2.6823374973004652,5.400048841812815,268.85490097482756,4.227464871830376e-34,4.660407009586652e-31,DE,upregulated
ENSBTAG00000046158,4.096206513014363,5.400458596738926,265.72727409365876,7.192901116912503e-34,7.489008879558736e-31,DE,upregulated
ENSBTAG00000010273,4.852740150048507,2.2083821304154716,262.3790642412723,1.2764815894824227e-33,1.2398427134573964e-30,DE,upregulated
ENSBTAG00000002996,3.5502855721783337,3.227940659288397,262.1704674886518,1.3231339986739196e-33,1.2398427134573964e-30,DE,upregulated
ENSBTAG00000017251,2.901904977009869,2.73355509832556,261.26494435022727,1.5465798773510742e-33,1.3732155603691196e-30,DE,upregulated
ENSBTAG00000006505,2.9789840011229107,11.261800085405078,260.81311062414863,1.6720342570530087e-33,1.3732155603691196e-30,DE,upregulated
ENSBTAG00000022715,4.295280154692146,5.62485574922384,260.4207641557187,1.789327311289016e-33,1.3732155603691196e-30,DE,upregulated
ENSBTAG00000019330,3.1490086783216076,4.713250501387146,260.3675755620853,1.8058584776761336e-33,1.3732155603691196e-30,DE,upregulated
ENSBTAG00000019669,2.738177606566603,8.217282762557645,260.2849919801961,1.8318333605052014e-33,1.3732155603691196e-30,DE,upregulated
